Sample ID,Date_collected,Tissue,Site,Size_class,Length,Total_DW ,Delta15N,PercentN,Delta13C,Delta13C_corrected,PercentC,CN_ratio,ug_N,ug_C,Ampl 28,N Area,Ampl 44,C Area
N-AUG24-2B,24-Aug-10,N,2+,N,NA,1.313,6.32,2.17,-23.15,-18.3,13.19,8.25,14.8,121.9,636,7,1634,23
N-AUG24-2C,24-Aug-10,N,2+,N,NA,0.885,5.96,2.91,-23.81,-19.76,17.04,7.44,13.4,99.5,552,6,1398,20
N-AUG25-2A,25-Aug-10,N,2+,N,NA,1.236,5.91,3.2,-22.89,-21.95,11.28,4.3,20.5,88.1,903,10,1296,18
N-AUG25-2B,25-Aug-10,N,2+,N,NA,1.497,6.21,3.07,-22.76,-21.16,11.33,4.97,23.8,118.3,1050,12,1561,23
N-AUG25-2C,25-Aug-10,N,2+,N,NA,0.519,5.66,5.37,-22.81,-21.92,21.74,4.26,14.4,61.5,609,7,1046,15
N-AUG30-2A,30-Aug-10,N,2+,N,NA,0.336,6.03,6.75,-22.4,-21.57,41.84,4.2,22.7,95.2,983,12,1259,19
N-AUG30-2B,30-Aug-10,N,2+,N,NA,0.746,6.12,2.54,-23.01,-22.39,16.18,3.98,18.9,75.4,814,10,1105,16
N-AUG30-2C,30-Aug-10,N,2+,N,NA,0.264,6.09,7.79,-22.52,-21.5,51.32,4.38,20.6,90.1,4271,50,17621,272
N-AUG30-2D,30-Aug-10,N,2+,N,NA,0.233,6.16,6.01,-23.18,-21.82,47.87,4.73,14,66.2,2925,34,14594,225
N-AUG30-2E,30-Aug-10,N,2+,N,NA,0.272,6.15,7.27,-22.65,-21.69,48.09,4.32,19.8,85.5,4094,48,16968,263
N-AUG31-2A,31-Aug-10,N,2+,N,NA,0.255,6.42,6.09,-23.14,-21.68,47.14,4.82,15.5,74.9,3274,38,15855,242
N-AUG31-2B,31-Aug-10,N,2+,N,NA,0.25,6.48,6.5,-23.09,-21.77,48.65,4.69,16.3,76.3,3379,39,15812,244
N-AUG31-2C,31-Aug-10,N,2+,N,NA,0.716,6.24,3.38,-22.65,-21.2,22.63,4.82,24.2,116.7,1050,13,1468,22
N-AUG31-2D,31-Aug-10,N,2+,N,NA,0.269,6.26,7.8,-22.67,-21.78,50.02,4.25,21,89.2,4327,51,17475,270
N-AUG31-2E,31-Aug-10,N,2+,N,NA,1.556,6.47,1.29,-23.23,-19.84,11.68,6.78,20.1,136.4,1013,9,1320,17
N-SEP02-2A,02-Sep-10,N,2+,N,NA,1.811,6.65,0.7,-24.25,-21.18,7.05,6.45,12.8,82.3,524,6,1191,17
N-SEP02-2B,02-Sep-10,N,2+,N,NA,0.315,5.66,3.18,-24.28,-23.27,28.33,4.38,10,43.9,392,5,826,12
N-SEP02-2C,02-Sep-10,N,2+,N,NA,1.47,6.52,0.74,-24.41,-20.97,8.12,6.82,10.8,74,434,5,1119,16
S-AUG24-2A,24-Aug-10,S,2+,S,NA,1.354,4.15,1.15,-24.17,-21.1,9.21,6.46,15.6,100.7,512,5,800,11
S-AUG24-2B,24-Aug-10,S,2+,S,NA,1.355,3.22,1.12,-24.15,-21.57,8.43,5.95,15.2,90.3,489,5,728,10
S-AUG24-2C,24-Aug-10,S,2+,S,NA,1.077,3.2,1.38,-24.58,-22,10.44,5.95,14.9,88.5,480,5,720,10
S-AUG25-2A,25-Aug-10,S,2+,S,NA,1.64,3.69,1.02,-24.43,-22.06,7.36,5.75,16.8,96.7,606,6,814,11
S-AUG25-2B,25-Aug-10,S,2+,S,NA,1.066,3.32,1.27,-23.52,-22.13,8.27,4.76,13.5,64.2,441,4,584,7
S-AUG25-2C,25-Aug-10,S,2+,S,NA,1.456,3.32,0.89,-25.04,-22.04,7.33,6.38,13,82.7,414,4,717,9
S-AUG30-2A,30-Aug-10,S,2+,S,NA,1.828,3.21,0.79,-24.99,-21.89,6.44,6.48,14.4,93.7,487,4,799,10
S-AUG30-2B,30-Aug-10,S,2+,S,NA,1.174,3,1.21,-24.83,-22.42,9.06,5.79,14.2,82.4,465,4,704,9
S-AUG30-2C,30-Aug-10,S,2+,S,NA,1.313,3.23,1.11,-24.75,-22.26,8.31,5.86,14.5,85.2,467,4,716,9
S-AUG30-2D,30-Aug-10,S,2+,S,NA,1.724,3.22,0.84,-24.64,-22.36,6.12,5.66,14.4,81.5,471,4,700,9
S-AUG30-2E,30-Aug-10,S,2+,S,NA,1.474,3.18,0.98,-24.37,-22.81,6.44,4.93,14.4,70.9,484,4,632,8
S-AUG31-2A,31-Aug-10,S,2+,S,NA,1.478,3.98,0.86,-24.38,-21.83,6.69,5.93,12.6,74.9,519,6,918,13
S-AUG31-2C,31-Aug-10,S,2+,S,NA,1.066,3.89,1.2,-24.57,-22.13,9.25,5.82,12.8,74.6,529,6,915,13
S-AUG31-2D,31-Aug-10,S,2+,S,NA,0.842,4.2,1.43,-24.84,-22.45,11.09,5.77,12,69.4,493,6,867,12
S-AUG31-2E,31-Aug-10,S,2+,S,NA,1.122,3.55,1.09,-24.86,-22.42,8.48,5.82,12.2,71.2,498,6,881,12
