Sample ID,Date_collected,Tissue,Site,Size_class,Length,Total_DW ,Delta15N,PercentN,Delta13C,Delta13C_corrected,PercentC,CN_ratio,ug_N,ug_C,Ampl 28,N Area,Ampl 44,C Area
M1-AUG24-1-2,24-Aug-10,M,1+,,46.7,0.835,6.2,7.81,-21.39,-19.23,43.29,5.54,65.2,361.4,2405,25,3064,41
M1-SEP02-1-8,02-Sep-10,M,1+,,46.79,0.816,6.34,8.1,-21.22,-20.1,36.33,4.49,66.1,296.5,2790,41,2642,45
M1-AUG24-1-20,24-Aug-10,M,1+,,46.9,0.937,5.47,9.11,-21.24,-20.21,40.07,4.4,85.4,375.4,3201,33,3207,42
M1-SEP02-1-3,02-Sep-10,M,1+,,47.4,1.06,6.81,9.34,-20.99,-20.04,40.34,4.32,99,428,2821,40,2488,41
M2-AUG24-1-1,24-Aug-10,M,1+,,47.55,0.95,6.49,10.06,-20.69,-19.57,45.19,4.49,95.6,429.3,3398,36,3492,47
M2-AUG24-1-2,24-Aug-10,M,1+,,48.56,0.89,6.4,8.32,-21.19,-19.46,42.44,5.1,74.1,377.7,2589,27,3084,41
M1-AUG24-1-19,24-Aug-10,M,1+,,49,0.929,5.93,8.17,-21.55,-19.35,45.62,5.58,75.9,423.8,2856,29,3599,48
M2-AUG24-1-4,24-Aug-10,M,1+,,49.02,0.976,6.59,8.95,-21.03,-19.92,40.12,4.48,87.4,391.5,3052,33,3165,43
M1-SEP02-1-6,02-Sep-10,M,1+,,49.55,0.956,6.98,8.69,-20.59,-19.69,37.01,4.26,83,353.8,3523,52,3117,53
M1-AUG24-1-2,24-Aug-10,M,1+,,49.6,0.94,6.03,7.91,-20.71,-19.61,35.34,4.47,74,332,2015,30,1924,32
M1-AUG24-1-17,24-Aug-10,M,1+,,50,1.082,5.89,9.19,-21.68,-20.07,45.72,4.98,99.4,494.7,3778,39,4150,56
M2-SEP02-1-4,02-Sep-10,M,1+,,54.34,0.933,6.4,8.59,-21.22,-19.79,41.17,4.79,80.2,384.1,3533,50,3456,58
M1-AUG24-1-25,24-Aug-10,M,1+,,54.5,0.771,5.88,8.8,-21.07,-19.63,42.34,4.81,67.9,326.4,2515,26,2804,37
M2-SEP02-1-2,02-Sep-10,M,1+,,54.72,0.94,6.64,8.73,-20.71,-19.69,38.24,4.38,82,359.4,3603,51,3236,54
M2-SEP02-1-3,02-Sep-10,M,1+,,56.78,0.904,5.99,8.73,-20.31,-19.57,35.74,4.09,78.9,323.1,3461,49,2933,49
M2-SEP02-1-1,02-Sep-10,M,1+,,63.13,0.904,6.28,8.59,-21.25,-19.89,40.6,4.73,77.6,367,3371,49,3278,55
A-AUG24-1A,24-Aug-10,A,1+,A,NA,0.072,7.02,10.11,-20.98,-19.86,45.24,4.5,7.3,32.6,1453,18,4509,70
A-AUG24-1B,24-Aug-10,A,1+,A,NA,0.066,6.33,8.91,-21.24,-20.08,40.3,4.5,5.9,26.6,1204,14,3808,59
A-AUG24-1C,24-Aug-10,A,1+,A,NA,0.081,6.95,8.68,-21.04,-20.11,37.18,4.3,7,30.1,1424,17,4247,66
A-AUG30-1B,30-Aug-10,A,1+,A,NA,0.096,7.25,3.82,-21.09,-19.53,17.82,4.9,3.7,17.1,762,9,3309,51
A-AUG30-1C,30-Aug-10,A,1+,A,NA,0.099,7.4,5.94,-20.47,-19.85,24.14,4,5.9,23.9,1212,14,5695,88
A-AUG30-1D,30-Aug-10,A,1+,A,NA,0.14,7.52,3.74,-21.4,-20.59,15.95,4.2,5.2,22.3,1068,13,4468,69
A-AUG30-1E,30-Aug-10,A,1+,A,NA,0.139,8.35,5.5,-21.1,-20.63,22.73,3.8,7.6,31.6,1559,19,4567,70
A-AUG31-1A,31-Aug-10,A,1+,A,NA,0.162,7.68,3.38,-22.2,-21.98,16.37,3.6,5.5,26.5,1112,13,3872,60
A-AUG31-1B,31-Aug-10,A,1+,A,NA,0.245,7.55,2.53,-22.3,-22.82,12.58,2.8,6.2,30.8,1259,15,3470,53
A-AUG31-1C,31-Aug-10,A,1+,A,NA,0.199,7.54,2.95,-22.24,-21.57,13.61,4,5.9,27.1,1191,14,3604,56
A-AUG31-1D,31-Aug-10,A,1+,A,NA,0.163,7.19,3.06,-21.79,-19.42,14.57,5.7,5,23.7,1018,12,3596,56
A-AUG31-1E,31-Aug-10,A,1+,A,NA,0.177,7.26,2.92,-21.78,-20.38,14.05,4.8,5.2,24.9,1049,13,4601,71
A-SEP02-1A,02-Sep-10,A,1+,A,NA,0.264,8.06,2.1,-22.66,-24.49,10.03,1.5,5.6,26.5,1126,14,10249,160
A-SEP02-1B,02-Sep-10,A,1+,A,NA,0.256,7.45,2.92,-22.44,-20.67,14.21,5.1,7.5,36.4,1514,18,13776,215
A-SEP02-1C,02-Sep-10,A,1+,A,NA,0.189,7.55,3.12,-22.58,-20.77,16.18,5.18,5.9,30.6,1256,15,4338,66
N-AUG24-1A,24-Aug-10,N,1+,N,NA,0.183,6.03,8.17,-24.01,-20.21,58.51,7.19,7.8,55.8,1664,19,14222,216
N-AUG24-1B,24-Aug-10,N,1+,N,NA,0.676,5.55,4.47,-23.3,-21.48,19.64,5.2,15.7,81.5,672,8,1238,18
N-AUG24-1C,24-Aug-10,N,1+,N,NA,0.383,5.42,8.13,-23.02,-21.42,34.38,4.97,16.2,80.4,705,8,1237,17
N-AUG25-1A,25-Aug-10,N,1+,N,NA,2.096,6.45,2.07,-23.38,-19.61,10.15,7.16,22.6,161.4,1004,12,1968,29
N-AUG25-1B,25-Aug-10,N,1+,N,NA,0.967,6.08,2.83,-23.87,-21.8,13.28,5.44,14.2,77.1,595,7,1186,17
N-AUG25-1C,25-Aug-10,N,1+,N,NA,1.187,6.57,2.21,-23.87,-19.35,13.41,7.92,13.6,107.9,565,7,1483,21
